id,grammarType,group,sentence,optionA,optionB,optionC,optionD,correct,infinitive,preteritum,meaning,translation,synonym,antonym
109,Perfekt (Partizip II),,Die Kinder haben ein Zelt im Garten ______.,bestellt,festgestellt,aufgestellt,hergestellt,aufgestellt,aufstellen,stellte auf,dựng lên; lập kế hoạch,Bọn trẻ đã dựng một cái lều trong vườn.,errichten,abgebaut (tháo dỡ)
110,Perfekt (Partizip II),,Jeder Mitarbeiter hat zum Erfolg des Projekts ______.,beigetragen,ausgetragen,betragen,vertragen,beigetragen,beitragen,trug bei,đóng góp,Mỗi nhân viên đều đã đóng góp vào thành công của dự án.,mitwirken,
111,Perfekt (Partizip II),,Ich habe diese Frage in der Prüfung ______.,ausgelassen,angelassen,losgelassen,verlassen,ausgelassen,auslassen,ließ aus,bỏ qua,Tôi đã bỏ qua câu hỏi đó trong bài thi.,weglassen,einbezogen (bao gồm vào)
112,Perfekt (Partizip II),,Ich habe noch einmal im Wörterbuch ______.,übersehen,vorgesehen,nachgesehen,zugesehen,nachgesehen,nachsehen,sah nach,kiểm tra lại,Tôi đã tra lại một lần nữa trong từ điển.,überprüfen,
113,Perfekt (Partizip II),,Sie hat sich ihrem Freund voller Sorge ______.,zugewendet,abgewendet,angewendet,verwendet,zugewendet,sich zuwenden,wendete zu,"hướng về, quan tâm đến",Cô ấy đã hướng về bạn trai mình với đầy lo lắng.,sich widmen,abgewendet (quay lưng đi)
114,Perfekt (Partizip II),,Der Zug ist pünktlich ______.,weggekommen,mitgekommen,angekommen,vorgekommen,angekommen,ankommen,kam an,đến nơi,Tàu đã đến đúng giờ.,eintreffen,abgefahren (khởi hành)
115,Perfekt (Partizip II),,Wir haben uns die Bilder gemeinsam ______.,weggeschaut,angeschaut,verreist,zugeschaut,angeschaut,anschauen,schaute an,nhìn ngắm,Chúng tôi đã cùng nhau xem những bức ảnh.,betrachten,
116,Perfekt (Partizip II),,Ich habe mir seine Geschichte geduldig ______.,abgehört,gehört,zugehört,angehört,angehört,anhören,hörte an,nghe qua; nghe có vẻ,Tôi đã kiên nhẫn nghe câu chuyện của anh ấy.,klingen,
117,Perfekt (Partizip II),,Ich habe die Tür fest ______.,aufgemacht,nachgemacht,zugemacht,ausgemacht,zugemacht,zumachen,machte zu,đóng lại,Tôi đã đóng chặt cửa lại.,schließen,aufgemacht (mở)
118,Perfekt (Partizip II),,Die Bergsteiger haben den Gipfel ______.,ausgestiegen,aufgestiegen,bestiegen,eingestiegen,bestiegen,besteigen,bestieg,"leo lên (núi, xe)",Những người leo núi đã chinh phục đỉnh núi.,hinaufklettern,
119,Perfekt (Partizip II),,Er hat den Wasserhahn am Ende wieder ______.,umgedreht,abgedreht,verdreht,angedreht,abgedreht,abdrehen,drehte ab,vặn tắt; đổi hướng,Cuối cùng anh ấy đã vặn tắt vòi nước lại.,ausschalten,angedreht (mở vòi)
120,Perfekt (Partizip II),,Wir haben dem Spiel gespannt ______.,vorgesehen,zugesehen,nachgesehen,angesehen,zugesehen,zusehen,sah zu,"xem, chứng kiến",Chúng tôi đã hồi hộp theo dõi trận đấu.,beobachten,eingegriffen (can thiệp)
121,Perfekt (Partizip II),,Der Dieb hat ihr die Tasche ______.,weggenommen,aufgenommen,angenommen,eingenommen,weggenommen,wegnehmen,nahm weg,lấy đi,Tên trộm đã giật lấy túi xách của cô ấy.,entfernen,gegeben (cho)
122,Perfekt (Partizip II),,Ich habe gestern ein Paket ______.,bekommen,mitgekommen,vorgekommen,zurückgekommen,bekommen,bekommen,bekam,nhận được,Hôm qua tôi đã nhận được một gói hàng.,"erhalten, kriegen",gegeben (cho)
123,Perfekt (Partizip II),,Ich habe im Winter leider etwas ______.,vernommen,benommen,zugenommen,angenommen,zugenommen,zunehmen,nahm zu,tăng cân/tăng lên,Tiếc là tôi đã tăng cân một chút vào mùa đông.,steigen,abgenommen (giảm cân)
124,Perfekt (Partizip II),,Er hat die Gruppe bis zum Ziel ______.,angeführt,eingeführt,durchgeführt,aufgeführt,angeführt,anführen,führte an,dẫn đầu; trích dẫn,Anh ấy đã dẫn dắt nhóm đến đích.,leiten,gefolgt (đi theo)
125,Perfekt (Partizip II),,Sie hat ihre neue Stelle letzten Monat ______.,vertreten,übertreten,aufgetreten,angetreten,angetreten,antreten,trat an,bắt đầu công việc; xếp hàng,Tháng trước cô ấy đã bắt đầu công việc mới.,beginnen,gekündigt (từ chức)
126,Perfekt (Partizip II),,Er hat das Licht vor dem Schlafen ______.,umgeschaltet,zerteilt,eingeschaltet,ausgeschaltet,ausgeschaltet,ausschalten,schaltete aus,tắt (thiết bị),Anh ấy đã tắt đèn trước khi ngủ.,abstellen,eingeschaltet (bật)
127,Perfekt (Partizip II),,Er hat den Motor im Winter sofort ______.,verlassen,losgelassen,eingelassen,angelassen,angelassen,anlassen,ließ an,để máy chạy; khởi động,Vào mùa đông anh ấy đã khởi động động cơ ngay lập tức.,starten,abgestellt (tắt)
128,Perfekt (Partizip II),,Jemand hat den Stuhl ______.,eingestellt,verstellt,abgestellt,aufgestellt,verstellt,verstellen,verstellte,điều chỉnh; giả vờ,Ai đó đã chỉnh lại vị trí chiếc ghế.,verändern,
129,Perfekt (Partizip II),,Sie sind früh am Morgen ______.,weggefahren,verfahren,befahren,aufgefahren,weggefahren,wegfahren,fuhr weg,lái xe đi,Họ đã lái xe đi từ sáng sớm.,abreisen,geblieben (ở lại)
130,Perfekt (Partizip II),,Der Techniker hat die Maschine wieder ______.,abgeworfen,angeworfen,eingeworfen,vorgeworfen,angeworfen,anwerfen,warf an,khởi động máy,Kỹ thuật viên đã khởi động lại cỗ máy.,starten,abgestellt (tắt máy)
131,Perfekt (Partizip II),,Ich bin schnell in den Bus ______.,eingestiegen,abgestiegen,bestiegen,aufgestiegen,eingestiegen,einsteigen,stieg ein,lên xe,Tôi đã nhanh chóng lên xe buýt.,betreten,ausgestiegen (xuống xe)
132,Perfekt (Partizip II),,Ich habe mein Fahrrad vor dem Haus ______.,aufgestellt,zurückgestellt,eingestellt,abgestellt,abgestellt,abstellen,stellte ab,tắt; đỗ xe,Tôi đã để xe đạp trước nhà.,ausschalten,angeschaltet (bật)
133,Perfekt (Partizip II),,Das Auto hat die Tür beim Unfall ______.,bedrückt,eingedrückt,unterdrückt,ausgedrückt,eingedrückt,eindrücken,drückte ein,"làm móp, ấn vào",Chiếc xe đã làm móp cánh cửa trong vụ tai nạn.,einbeulen,
134,Perfekt (Partizip II),,Ich bin mit meinem Kollegen ______.,mitgefahren,ausgefahren,befahren,verfahren,mitgefahren,mitfahren,fuhr mit,đi cùng xe,Tôi đã đi nhờ xe cùng đồng nghiệp.,mitkommen,
135,Perfekt (Partizip II),,Wir haben höflich nach dem Preis ______.,angefragt,nachgefragt,befragt,erfunden,angefragt,anfragen,fragte an,hỏi thăm (chính thức),Chúng tôi đã lịch sự hỏi thăm về giá cả.,nachfragen,
136,Perfekt (Partizip II),,Wir haben das Problem ausführlich ______.,besprochen,abgesprochen,ausgesprochen,versprochen,besprochen,besprechen,besprach,thảo luận,Chúng tôi đã thảo luận kỹ về vấn đề đó.,diskutieren,
137,Perfekt (Partizip II),,Diese Regel wurde vor zwei Jahren ______.,eingeführt,durchgeführt,aufgeführt,verführt,eingeführt,einführen,führte ein,giới thiệu; nhập khẩu,Quy định này đã được ban hành hai năm trước.,importieren,abgeschafft (bãi bỏ)
138,Perfekt (Partizip II),,Diese Frage wurde in der Debatte ______.,vorgeworfen,angeworfen,abgeworfen,aufgeworfen,aufgeworfen,aufwerfen,warf auf,đặt ra (câu hỏi),Câu hỏi này đã được đặt ra trong cuộc tranh luận.,stellen,
139,Perfekt (Partizip II),,Er hat mir die schlechte Nachricht sofort ______.,verteilt,zerteilt,eingeteilt,mitgeteilt,mitgeteilt,mitteilen,teilte mit,thông báo,Anh ấy đã báo ngay cho tôi tin xấu đó.,informieren,verschwiegen (giấu kín)
140,Perfekt (Partizip II),,Das Paket wurde schnell ______.,eingebunden,losgebunden,angebunden,verbunden,losgebunden,losbinden,band los,"cởi trói, tháo dây",Gói hàng đã nhanh chóng được tháo dây.,lösen,angebunden (buộc vào)
141,Perfekt (Partizip II),,Die Namen der Gewinner wurden laut ______.,ausgelesen,vorgelesen,verlesen,durchgelesen,verlesen,verlesen,verlas,đọc to (danh sách),Tên của những người chiến thắng đã được đọc to lên.,vorlesen,
142,Perfekt (Partizip II),,Nach dem Unfall ist ein großer Stau ______.,aufgestanden,verstanden,entstanden,bestanden,entstanden,entstehen,entstand,"hình thành, nảy sinh","Sau vụ tai nạn, một vụ kẹt xe lớn đã hình thành.",sich bilden,vergangen (mất đi/trôi qua)
143,Perfekt (Partizip II),,Sie hat das Buch auf Seite zehn ______.,angeschlagen,aufgeschlagen,abgeschlagen,vorgeschlagen,aufgeschlagen,aufschlagen,schlug auf,đập vỡ trứng; mở sách; tăng giá,Cô ấy đã mở sách ra ở trang mười.,öffnen,zugeschlagen (đóng lại)
144,Perfekt (Partizip II),,"Ich habe noch einmal ______, weil ich es nicht verstanden hatte.",angefragt,nachgefragt,vergeben,befragt,nachgefragt,nachfragen,fragte nach,hỏi lại cho rõ,Tôi đã hỏi lại một lần nữa vì chưa hiểu rõ.,sich erkundigen,
145,Perfekt (Partizip II),,Der Täter hat einen schweren Fehler ______.,vergangen,ausgegangen,aufgegangen,begangen,begangen,begehen,beging,"phạm (tội), tổ chức lễ",Thủ phạm đã phạm một sai lầm nghiêm trọng.,verüben (tội),unterlassen (không làm/kiềm chế)
146,Perfekt (Partizip II),,Ich bin heute sehr früh ______.,aufgewacht,erwachsen,erwacht,aufgewachsen,aufgewacht,aufwachen,wachte auf,tỉnh giấc,Hôm nay tôi đã thức giấc rất sớm.,erwachen,eingeschlafen (chìm vào giấc ngủ)
147,Perfekt (Partizip II),,Das Öl ist aus dem Tank ______.,eingelaufen,verlaufen,abgelaufen,ausgelaufen,ausgelaufen,auslaufen,lief aus,chảy ra; hết hạn,Dầu đã bị rò rỉ ra khỏi bình chứa.,herausfließen,
148,Perfekt (Partizip II),,Der Film hat das Thema sehr gut ______.,abgestellt,angestellt,dargestellt,verstellt,dargestellt,darstellen,stellte dar,miêu tả; biểu diễn,Bộ phim đã thể hiện chủ đề này rất tốt.,zeigen,
149,Perfekt (Partizip II),,Ein fremder Hund ist uns einfach ______.,eingelaufen,angelaufen,zugelaufen,weggelaufen,zugelaufen,zulaufen,lief zu,chạy đến,Một con chó lạ đã tự chạy đến với chúng tôi.,sich nähern,weggelaufen (chạy đi)
150,Perfekt (Partizip II),,Ich habe mein Studium letztes Jahr ______.,beschlossen,eingeschlossen,verschlossen,abgeschlossen,abgeschlossen,abschließen,schloss ab,hoàn thành; khóa,Năm ngoái tôi đã hoàn thành việc học đại học.,beenden,angefangen (bắt đầu)
151,Perfekt (Partizip II),,Dieses Haus hat früher meinem Großvater ______.,angehört,gehört,zugehört,aufgehört,gehört,gehören,gehörte,thuộc về,Ngôi nhà này trước đây thuộc về ông tôi.,Eigentum sein von,
152,Perfekt (Partizip II),,Er hat diese Entscheidung gut ______.,überdacht,abgegeben,nachgedacht,bedacht,bedacht,bedenken,bedachte,cân nhắc,Anh ấy đã suy nghĩ kỹ về quyết định này.,überlegen,
153,Perfekt (Partizip II),,Diese Straße darf nicht mit dem Lkw ______ werden.,abgefahren,befahren,aufgefahren,verfahren,befahren,befahren,befuhr,đi trên (đường),Con đường này không được phép cho xe tải đi qua.,nutzen,
154,Perfekt (Partizip II),,Sie hat ihre Heimat vor Jahren ______.,verlassen,ausgelassen,zugelassen,eingelassen,verlassen,verlassen,verließ,rời bỏ,Cô ấy đã rời quê hương từ nhiều năm trước.,weggehen von,geblieben (ở lại)
155,Perfekt (Partizip II),,Unsere Mannschaft ist im Finale klar ______.,vorgelegen,weggekommen,unterlegen,besessen,unterlegen,unterliegen,unterlag,"thua, chịu thua",Đội của chúng tôi đã thua rõ rệt ở trận chung kết.,verlieren,überlegen (vượt trội/thắng)
156,Perfekt (Partizip II),,Der Skandal wurde von einem Journalisten ______.,aufgedeckt,bedeckt,entdeckt,abgedeckt,aufgedeckt,aufdecken,deckte auf,"phanh phui, lật tẩy",Vụ bê bối đã bị một nhà báo phanh phui.,enthüllen,verborgen (che giấu)
157,Perfekt (Partizip II),,Der Motor ist heute Morgen sofort ______.,eingelaufen,zugelaufen,abgelaufen,angelaufen,angelaufen,anlaufen,lief an,khởi động; chạy đến,Sáng nay động cơ đã khởi động ngay lập tức.,beginnen,stehengeblieben (dừng lại)
158,Perfekt (Partizip II),,Wir haben während der Werbung den Kanal ______.,weggelaufen,eingeschaltet,ausgeschaltet,umgeschaltet,umgeschaltet,umschalten,schaltete um,chuyển kênh/chế độ,Chúng tôi đã chuyển kênh trong lúc quảng cáo.,wechseln,
159,Perfekt (Partizip II),,Die Firma hat in zehn Jahren ein großes Netzwerk ______.,aufgebaut,abgebaut,bebaut,eingebaut,aufgebaut,aufbauen,baute auf,xây dựng lên,Công ty đã xây dựng một mạng lưới lớn trong mười năm.,errichten,abgebaut (tháo dỡ)
160,Perfekt (Partizip II),,Ich habe meine Tochter von der Schule ______.,erholt,zerteilt,eingeholt,abgeholt,abgeholt,abholen,holte ab,"đi đón, đi lấy",Tôi đã đón con gái từ trường về.,einsammeln,gebracht (đưa đi)
161,Perfekt (Partizip II),,Die Kameras haben den Parkplatz die ganze Nacht ______.,überwacht,bewacht,erwacht,aufgewachsen,überwacht,überwachen,überwachte,giám sát,Camera đã giám sát bãi đỗ xe suốt đêm.,kontrollieren,
162,Perfekt (Partizip II),,Ein anderes Auto ist hinten ______.,weggefahren,eingefahren,aufgefahren,mitgefahren,aufgefahren,auffahren,fuhr auf,đâm vào phía sau,Một chiếc xe khác đã đâm vào phía sau.,zusammenstoßen,
163,Perfekt (Partizip II),,Der Wind hat den Zaun ______.,angeworfen,aufgeworfen,umgeworfen,weggeworfen,umgeworfen,umwerfen,warf um,làm đổ,Gió đã làm đổ hàng rào.,umstoßen,aufgerichtet (dựng lại)
164,Perfekt (Partizip II),,Die alte Fabrik wurde komplett ______.,aufgebaut,ausgebaut,umgebaut,abgebaut,abgebaut,abbauen,baute ab,tháo dỡ; khai thác,Nhà máy cũ đã được tháo dỡ hoàn toàn.,demontieren,aufgebaut (xây dựng)
165,Perfekt (Partizip II),,Ich habe lange über das Problem ______.,festgehalten,nachgedacht,überdacht,bedacht,nachgedacht,nachdenken,dachte nach,suy nghĩ kỹ,Tôi đã suy nghĩ rất lâu về vấn đề đó.,überlegen,
166,Perfekt (Partizip II),,Ich habe meinen Regenschirm ______.,angenommen,teilgenommen,mitgenommen,benommen,mitgenommen,mitnehmen,nahm mit,mang theo,Tôi đã mang theo ô của mình.,begleiten,zurückgelassen (để lại)
167,Perfekt (Partizip II),,Zu Karneval haben sich alle als Piraten ______.,ausgedrückt,verkleidet,angekleidet,bekommen,verkleidet,verkleiden,verkleidete,"hóa trang, cải trang","Vào dịp lễ hội Carnival, mọi người đã hóa trang thành cướp biển.",sich maskieren,
168,Perfekt (Partizip II),,Der Regen hat uns leider ______.,unterhalten,aufgehalten,abgehalten,behalten,aufgehalten,aufhalten,hielt auf,ngăn cản; giữ chân,Tiếc là cơn mưa đã làm chúng tôi chậm trễ.,hindern,
169,Perfekt (Partizip II),,Mir ist plötzlich eine gute Idee ______.,befallen,weggefallen,eingefallen,aufgefallen,eingefallen,einfallen,fiel ein,nảy ra ý tưởng,Tôi bỗng nảy ra một ý tưởng hay.,in den Sinn kommen,
170,Perfekt (Partizip II),,Sein Angebot wurde höflich ______.,abgeschlagen,aufgeschlagen,vorgeschlagen,ausgeschlagen,abgeschlagen,abschlagen,schlug ab,từ chối; đánh rơi,Đề nghị của anh ấy đã bị từ chối một cách lịch sự.,ablehnen,angenommen (chấp nhận)
171,Perfekt (Partizip II),,Mit achtzehn Jahren gilt man in Deutschland als ______.,bewacht,erwachsen,erwacht,aufgewachsen,erwachsen,erwachsen,erwuchs,trưởng thành (tính từ/động từ),"Ở Đức, tròn mười tám tuổi được coi là trưởng thành.","groß, reif",minderjährig (vị thành niên)
172,Perfekt (Partizip II),,Das Gebäude ist im Laufe der Jahre ______.,befallen,weggefallen,aufgefallen,verfallen,verfallen,verfallen,verfiel,hết hạn; suy tàn,Tòa nhà đã xuống cấp theo năm tháng.,ablaufen,
173,Perfekt (Partizip II),,Der Blitz ist direkt neben uns ______.,zerschlagen,angeschlagen,ausgeschlagen,eingeschlagen,eingeschlagen,einschlagen,schlug ein,đập vào; gói lại,Tia sét đã đánh trúng ngay bên cạnh chúng tôi.,einwickeln,
174,Perfekt (Partizip II),,Sie ist heute Morgen sehr früh ______.,verstanden,entstanden,angestanden,aufgestanden,aufgestanden,aufstehen,stand auf,"thức dậy, đứng dậy",Sáng nay cô ấy đã thức dậy rất sớm.,sich erheben,eingeschlafen (chìm vào giấc ngủ)
175,Perfekt (Partizip II),,Nach dem Urlaub sind wir spät ______.,zurückgekommen,vorgekommen,weggekommen,bekommen,zurückgekommen,zurückkommen,kam zurück,quay trở lại,"Sau kỳ nghỉ, chúng tôi đã quay về muộn.",zurückkehren,weggegangen (đi mất)
176,Perfekt (Partizip II),,Das Konzert wurde leider ______.,zugesagt,abgesagt,ausgesagt,vorausgesagt,abgesagt,absagen,sagte ab,hủy bỏ,Tiếc là buổi hòa nhạc đã bị hủy.,"canceln, stornieren",zugesagt (đồng ý)
177,Perfekt (Partizip II),,Er hat die Hausaufgaben einfach von seinem Freund ______.,beschrieben,verschrieben,aufgeschrieben,abgeschrieben,abgeschrieben,abschreiben,schrieb ab,"chép lại, copy",Anh ấy đã chép bài tập về nhà từ bạn mình.,kopieren,
178,Perfekt (Partizip II),,Die Stadt hat sich in den letzten Jahren stark ______.,verändert,aufgelegt,abgeändert,zugenommen,verändert,verändern,veränderte,thay đổi (toàn diện),Thành phố đã thay đổi nhiều trong những năm gần đây.,umwandeln,
179,Perfekt (Partizip II),,Der Arzt hat einen Fehler ______.,verstellt,hergestellt,festgestellt,abgestellt,festgestellt,feststellen,stellte fest,xác định; nhận ra,Bác sĩ đã phát hiện ra một sai sót.,bemerken,
180,Perfekt (Partizip II),,Dieses Grundstück wurde noch nicht ______.,bebaut,verbaut,aufgebaut,umgebaut,bebaut,bebauen,bebaute,xây dựng trên (đất),Mảnh đất này vẫn chưa được xây dựng.,bepflanzen,
181,Perfekt (Partizip II),,Wir haben uns auf das Risiko ______.,verlassen,eingelassen,losgelassen,angelassen,eingelassen,einlassen,ließ ein,cho vào; dính líu,Chúng tôi đã chấp nhận mạo hiểm đó.,riskieren,abgelehnt (từ chối)
